Eden Hazard, Real Madrid
Cristiano Ronaldo, Manchester United
Neymar Jr., Paris Saint-Germain 
Karim Benzema, Real Madrid
Bruno Fernandes, Manchester United
Kylian Mbappé, Paris Saint-Germain 
Luka Modric, Real Madrid
Marcus Rashford, Manchester United
Lionel Messi, Paris Saint-Germain 
Vinicius Jr., Real Madrid
Sergio Ramos, Paris Saint-Germain 
Jadon Sancho, Manchester United
Marco Verratti, Paris Saint-Germain 
Paul Pogba, Manchester United
Harry Maguire, Manchester United
Mauro Icardi, Paris Saint-Germain
David Alaba, Real Madrid
Angel Di Maria, Paris Saint-Germain 
Toni Kroos, Real Madrid
Marquinhos, Paris Saint-Germain 
